Iván Herrera
Elly De La Cruz
Spencer Steer
Nick Kurtz
Byron Buxton
Riley Greene
Hunter Goodman
Angel Martínez
Jung Hoo Lee
Willy Adames
Nolan Arenado
Yandy Díaz
Andy Pages
Daulton Varsho
Brady House
Ceddanne Rafaela
Ildemaro Vargas
Ezequiel Tovar
Geraldo Perdomo
Harrison Bader
Ketel Marte
Pete Alonso
